record_id,Age,Gender,Weight_kg,Height_m,BMI,BMI_Index,Body_Fat_Pct,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hrs,Calories_Burned,Workout_Type,Water_Intake_L,Workout_Frequency_wk,Experience_Level,Fitness_Goal,Activity_Level,Daily_Calories_Intake,Sleep_Hours,Stress_Level,is_duplicate_flag,source
20,44,M,71.6,1.791,22.32,2,36.4,158,,79,1.52,334,N/A,2.41,3,,Build Muscle,Light,888,7.1,5,0,Kaggle_FitnessMetrics
21,13,Male,74.2,1.662,26.86,3,31.5,188,125,42,0.44,1192,cardio,1.37,3,1,muscle gain,Very Active,2482,8.8,4,0,Kaggle_FitnessMetrics
22,48,MALE,89.0,1.7,30.8,4,20.9,148,138,70,2.29,1101,Cardio,2.78,1,,Maintenance,,1072,6.8,1,0,Kaggle_GymMembers
23,13,MALE,154.764324,1.707,53.11,5,37.4,149,136,67,1.52,444,N/A,2.91,3,,Maintenance,sedentary,2392,7.6,8,0,Kaggle_BMIDataset
24,41,MALE,59.5,1.744,19.56,2,48.4,195,107,83,0.73,1354,strength,3.13,6,,Weight Loss,lightly active,,4.7,5,0,Kaggle_BMIDataset
25,50,Male,70.3,1.728,23.54,2,17.8,169,113,45,2.44,1033,Strength,2.33,4,3,weight loss,sedentary,4322,6.3,5,0,Kaggle_BMIDataset
26,43,female,70.4,1.757,22.8,2,15.7,171,115,55,0.52,947,Cardio,2.64,7,,Maintenance,Active,1239,9.1,6,0,Kaggle_BMIDataset
27,50,F,64.7,1.702,22.33,2,30.8,185,153,58,2.67,113,,3.51,2,,muscle gain,Light,3681,5.2,4,0,Kaggle_BMIDataset
28,43,F,66.4,1.655,24.24,2,13.8,140,141,80,0.32,910,strength,3.97,3,2,,Active,3376,7.7,10,0,Kaggle_GymMembers
29,80,Male,60.7,1.763,19.53,2,14.6,191,161,85,2.58,1337,Cardio,1.61,5,,weight loss,Sedentary,2607,6.0,4,0,Kaggle_FitnessMetrics
30,46,F,150.796008,1.577,60.64,5,22.2,171,103,40,0.87,236,strength,2.82,3,2,Lose Weight,Moderate,2476,7.6,7,0,Kaggle_FitnessMetrics
31,18,FEMALE,55.9,1.656,20.38,2,52.8,193,118,55,2.56,605,cardio,3.64,3,1,,Light,964,6.7,3,0,Kaggle_FitnessMetrics
32,16,MALE,52.6,1.602,20.5,2,19.4,150,151,91,1.6,736,,2.14,1,3,Weight Loss,,940,8.0,5,0,Kaggle_FitnessMetrics
33,39,male,76.4,1.771,24.36,2,50.0,191,131,86,1.72,432,hiit,1.66,1,1,Maintenance,sedentary,2453,5.2,6,0,Kaggle_GymMembers
34,31,Male,68.2,164.2,25.3,3,8.2,182,124,99,1.42,456,cardio,2.74,2,,muscle gain,Very Active,3071,2.9,5,0,Kaggle_BMIDataset
35,68,F,68.5,1.693,23.9,2,23.1,163,104,66,2.0,567,,3.94,3,2,maintenance,,1924,,10,0,Kaggle_BMIDataset
36,70,Female,63.7,1.469,29.52,3,9.5,168,154,100,1.0,829,HIIT,0.61,1,3,Lose Weight,lightly active,4169,9.4,7,1,Kaggle_BMIDataset
37,29,female,57.9,1.548,24.16,2,47.1,195,100,85,0.55,188,cardio,3.84,1,3,Maintenance,Very Active,1313,7.5,9,0,Kaggle_BMIDataset
38,79,Male,93.4,1.755,30.32,4,30.9,145,122,52,2.45,619,yoga,2.1,3,,Maintenance,Sedentary,,7.5,9,0,Kaggle_GymMembers
39,71,F,46.7,1.502,20.7,2,27.6,143,166,92,2.38,1344,Yoga,3.42,6,1,maintenance,Sedentary,1054,8.0,1,0,Kaggle_BMIDataset
40,34,Male,57.1,1.771,18.21,1,9.8,183,158,41,1.5,893,cardio,0.59,1,2,,Sedentary,4314,9.2,8,0,Kaggle_BMIDataset
41,16,male,69.6,1.699,24.11,2,13.0,198,136,40,1.29,1222,hiit,3.23,3,2,maintenance,Sedentary,2145,8.7,4,0,Kaggle_GymMembers
42,41,female,69.0,1.532,29.4,3,30.5,177,,91,0.72,151,Yoga,0.63,2,2,cutting,lightly active,2163,8.3,10,0,Kaggle_GymMembers
43,78,female,74.9,1.615,28.72,3,17.6,155,128,55,2.02,1290,hiit,1.47,6,1,,,1236,6.7,7,0,Kaggle_GymMembers
44,63,M,90.5,1.828,27.08,3,23.4,150,160,77,2.78,1131,,1.0,6,,Stay Fit,Sedentary,2129,7.3,3,0,Kaggle_FitnessMetrics
45,50,Male,73.7,1.7,25.5,3,26.3,162,155,69,0.46,1494,Yoga,3.04,3,2,weight loss,Moderate,3734,4.3,10,0,Kaggle_FitnessMetrics
46,65,Female,63.5,1.58,25.44,3,30.6,164,171,96,2.77,899,,3.88,7,1,Maintenance,Moderate,3991,,9,0,Kaggle_GymMembers
47,47,Female,55.2,1.546,23.1,2,33.1,170,157,84,0.95,568,Cardio,3.4,2,2,cutting,Moderate,2594,5.1,10,0,Kaggle_BMIDataset
48,15,male,57.4,1.567,23.38,2,30.4,181,142,95,1.5,308,Cardio,2.43,7,,Maintenance,Active,1080,8.6,3,0,Kaggle_FitnessMetrics
49,24,MALE,73.9,1.852,21.55,2,39.5,192,175,40,0.34,1332,Strength,3.76,6,3,cutting,Sedentary,836,8.1,5,0,Kaggle_FitnessMetrics
50,24,female,69.9,1.681,24.74,2,11.0,199,161,90,1.24,364,,1.74,,2,bulking,sedentary,2764,6.2,5,0,Kaggle_GymMembers
51,32,FEMALE,56.6,1.644,20.94,2,29.3,164,159,76,2.53,917,strength,1.6,1,1,maintenance,lightly active,3156,7.9,7,0,Kaggle_BMIDataset
52,46,Female,73.0,1.619,27.85,3,14.9,164,116,78,1.92,267,yoga,0.51,7,1,Maintenance,Active,3934,5.5,,1,Kaggle_BMIDataset
53,57,Male,67.0,1.766,21.48,2,38.0,185,103,79,2.37,524,N/A,1.21,2,1,Build Muscle,Light,2191,4.3,3,0,Kaggle_BMIDataset
54,23,MALE,69.6,1.654,25.44,3,28.8,141,100,88,2.38,593,,1.3,5,3,Build Muscle,Moderate,1302,6.4,9,0,Kaggle_GymMembers
55,17,female,52.8,1.596,20.73,2,51.2,150,143,83,2.53,771,,2.99,7,2,bulking,,934,8.8,4,0,Kaggle_FitnessMetrics
56,38,female,62.0,1.625,23.48,2,22.8,188,136,61,1.61,863,strength,2.03,,3,Muscle Gain,Moderate,1660,7.7,8,0,Kaggle_FitnessMetrics
57,15,Male,69.7,1.75,22.76,2,15.2,182,162,74,1.73,1109,Strength,2.66,6,3,bulking,Sedentary,2899,7.4,1,0,Kaggle_BMIDataset
58,27,male,68.3,1.666,24.61,2,31.4,192,111,60,1.97,229,Strength,2.02,7,1,Lose Weight,Moderate,1882,7.6,1,0,Kaggle_BMIDataset
59,60,male,59.1,1.693,20.62,2,25.9,,102,56,1.16,303,hiit,3.27,2,3,Muscle Gain,Light,,5.6,8,0,Kaggle_GymMembers
60,25,female,54.8,1.497,24.45,2,46.4,187,120,97,1.21,511,Strength,3.94,5,1,cutting,sedentary,1997,6.0,,0,Kaggle_GymMembers
61,38,male,61.2,1.531,26.11,3,,169,122,80,1.45,164,,0.53,5,1,maintenance,sedentary,,6.9,5,0,Kaggle_FitnessMetrics
62,46,M,59.9,1.605,23.25,2,16.9,171,115,50,1.68,1077,strength,1.58,3,2,Weight Loss,sedentary,3656,7.8,7,0,Kaggle_GymMembers
63,80,M,67.9,1.762,21.87,2,46.7,141,153,85,2.84,1246,N/A,2.88,4,3,bulking,Sedentary,1487,7.9,4,0,Kaggle_BMIDataset
64,62,F,58.9,1.52,25.49,3,41.3,187,150,57,2.96,1455,N/A,3.62,3,2,weight loss,Sedentary,3986,9.6,4,0,Kaggle_FitnessMetrics
65,78,M,70.1,1.768,22.43,2,20.1,156,161,99,2.54,912,Strength,0.99,5,3,cutting,lightly active,4137,9.0,9,0,Kaggle_GymMembers
66,68,F,77.3,1.618,29.53,3,44.5,172,160,56,1.44,1432,N/A,1.18,5,,Muscle Gain,Sedentary,1687,7.9,1,0,Kaggle_GymMembers
67,59,M,65.8,1.757,21.31,2,44.1,195,130,71,2.28,279,hiit,2.95,3,1,Stay Fit,Very Active,1555,6.2,7,0,Kaggle_BMIDataset
68,77,M,,1.626,,,36.0,181,117,66,1.1,1382,Strength,3.0,6,2,cutting,Very Active,3891,3.7,2,0,Kaggle_GymMembers
69,64,male,62.8,1.741,20.72,2,10.0,189,174,93,0.76,702,Strength,3.18,5,3,cutting,sedentary,,6.0,2,0,Kaggle_GymMembers
70,65,Female,85.7,1.455,40.48,5,25.0,177,128,66,2.77,196,cardio,2.46,5,,Stay Fit,Sedentary,3210,5.2,3,0,Kaggle_GymMembers
71,49,FEMALE,61.0,1.629,22.99,2,10.7,196,,89,0.64,375,Strength,1.66,6,2,,Light,2787,8.0,8,0,Kaggle_FitnessMetrics
72,23,Female,73.7,1.572,29.82,3,10.8,181,165,96,0.44,886,Strength,0.74,5,3,cutting,,1751,8.0,8,0,Kaggle_GymMembers
73,59,MALE,65.2,1.599,25.5,3,22.0,174,,42,1.82,,,2.2,7,1,weight loss,,3917,8.5,3,0,Kaggle_FitnessMetrics
74,62,M,53.5,1.679,18.98,2,48.3,192,122,60,1.84,1263,HIIT,1.0,7,,maintenance,lightly active,1775,7.9,6,0,Kaggle_FitnessMetrics
75,54,M,76.2,1.919,20.69,2,15.5,168,123,78,0.93,1207,cardio,1.86,4,3,maintenance,Sedentary,4268,,10,0,Kaggle_GymMembers
76,77,male,70.9,1.874,20.19,2,26.9,143,114,61,2.95,1359,Strength,2.42,7,,weight loss,Light,871,8.7,2,0,Kaggle_FitnessMetrics
77,25,female,56.5,1.642,20.96,2,49.1,195,116,76,2.84,1187,hiit,1.47,3,2,weight loss,Moderate,1121,7.2,10,0,Kaggle_FitnessMetrics
78,36,MALE,81.3,1.813,24.73,2,38.8,145,135,87,0.86,524,yoga,1.96,3,,Weight Loss,sedentary,4409,8.9,8,0,Kaggle_FitnessMetrics
79,37,male,85.3,1.795,26.47,3,18.1,151,175,46,1.67,1043,N/A,3.07,4,2,Muscle Gain,Very Active,2372,6.2,7,0,Kaggle_FitnessMetrics
80,17,M,69.5,1.805,21.33,2,9.8,146,115,69,2.31,512,yoga,1.82,2,2,weight loss,Active,3273,8.5,2,0,Kaggle_FitnessMetrics
81,63,MALE,50.1,1.837,14.85,0,27.7,189,104,68,0.84,114,cardio,0.82,5,3,maintenance,Very Active,1161,7.7,10,0,Kaggle_GymMembers
82,43,MALE,85.7,1.742,28.24,3,26.2,160,109,91,2.56,704,Cardio,3.04,7,,Maintenance,,4200,5.6,3,0,Kaggle_BMIDataset
83,32,M,63.8,1.78,20.14,2,10.0,167,104,70,1.83,1425,N/A,1.36,1,1,cutting,Light,3361,6.9,7,0,Kaggle_FitnessMetrics
84,76,M,138.009212,1.826,41.39,5,44.0,180,175,44,0.54,1375,Yoga,2.52,1,1,Build Muscle,Sedentary,890,5.3,7,0,Kaggle_FitnessMetrics
85,40,F,44.8,1.615,17.18,1,24.4,188,174,48,2.2,1443,,1.2,2,,cutting,Very Active,907,5.0,6,0,Kaggle_FitnessMetrics
86,19,FEMALE,46.9,1.479,21.44,2,18.2,152,100,93,1.31,1092,Yoga,1.91,,3,bulking,Sedentary,2586,5.1,2,0,Kaggle_FitnessMetrics
87,55,F,78.1,1.463,36.49,4,27.6,151,145,67,1.38,279,HIIT,0.84,7,,Lose Weight,Light,3085,6.4,5,0,Kaggle_BMIDataset
88,31,Male,88.7,1.66,32.19,4,10.8,156,157,46,0.26,525,yoga,3.22,2,1,,Very Active,2620,7.0,2,0,Kaggle_BMIDataset
89,34,male,85.4,1.58,34.21,4,14.3,189,132,54,1.52,1246,hiit,2.74,1,,weight loss,Very Active,3740,6.2,8,0,Kaggle_BMIDataset
90,33,male,79.1,1.824,23.78,2,24.4,158,102,69,2.26,473,Cardio,2.95,6,2,Build Muscle,lightly active,1608,8.0,8,0,Kaggle_GymMembers
91,29,FEMALE,44.5,1.54,18.76,2,30.7,141,143,40,0.79,957,Strength,1.49,1,1,Lose Weight,lightly active,2440,5.4,5,0,Kaggle_FitnessMetrics
92,49,MALE,71.0,1.613,27.29,3,34.3,189,175,59,1.54,957,cardio,3.2,6,1,Build Muscle,,898,6.2,6,0,Kaggle_GymMembers
93,76,M,56.9,1.819,17.2,1,,,155,51,1.05,1188,strength,2.18,2,1,bulking,Very Active,2689,6.5,5,0,Kaggle_FitnessMetrics
94,41,male,90.0,1.795,27.93,3,12.8,190,147,,1.1,,,2.58,3,,Muscle Gain,Moderate,1114,,3,0,Kaggle_FitnessMetrics
95,38,Female,75.0,1.567,30.54,4,30.3,196,113,63,2.26,366,N/A,0.62,4,1,Lose Weight,sedentary,2056,3.8,10,0,Kaggle_FitnessMetrics
96,32,Female,46.5,1.492,20.89,2,46.4,,,83,2.16,380,Cardio,3.07,3,3,Maintenance,Sedentary,2827,5.5,2,0,Kaggle_BMIDataset
97,37,female,50.1,1.493,22.48,2,43.9,199,171,80,1.16,962,N/A,1.06,5,1,muscle gain,Light,1892,5.4,1,0,Kaggle_FitnessMetrics
98,45,M,101.9,1.586,40.51,5,16.7,144,105,41,2.45,452,,2.42,4,1,Stay Fit,Active,2219,5.4,6,0,Kaggle_GymMembers
99,59,MALE,86.8,1.695,30.21,4,25.7,196,149,40,2.08,1358,cardio,1.87,3,,Build Muscle,Active,809,9.8,3,0,Kaggle_FitnessMetrics
100,25,M,74.7,1.781,23.55,2,30.0,171,132,56,0.94,1345,Cardio,2.76,4,,bulking,lightly active,904,8.5,5,1,Kaggle_FitnessMetrics
101,57,MALE,57.6,1.702,19.88,2,27.7,188,,59,1.43,438,strength,0.95,,3,bulking,Moderate,3705,6.4,5,0,Kaggle_GymMembers
102,59,Male,69.5,1.775,22.06,2,36.4,148,143,41,1.6,1172,Cardio,2.47,5,1,maintenance,Moderate,1250,7.4,2,0,Kaggle_BMIDataset
103,36,female,64.4,1.589,25.51,3,14.6,171,163,49,1.43,968,Strength,0.75,3,,maintenance,Very Active,1322,4.8,4,0,Kaggle_GymMembers
104,32,FEMALE,71.9,1.676,25.6,3,37.5,162,114,60,2.34,103,strength,2.74,3,2,weight loss,Light,2401,9.5,7,0,Kaggle_FitnessMetrics
105,31,M,81.9,1.616,31.36,4,36.3,177,138,65,2.73,646,Yoga,2.76,7,3,Maintenance,Light,2667,7.3,6,0,Kaggle_FitnessMetrics
106,55,Female,59.6,1.476,27.36,3,11.7,199,116,68,1.44,560,Strength,1.33,6,,,,3346,10.1,1,0,Kaggle_BMIDataset
107,77,F,38.5,1.587,15.29,0,12.2,179,148,60,1.92,777,Yoga,3.03,1,,Weight Loss,Light,4368,6.1,,0,Kaggle_BMIDataset
108,37,male,52.6,1.732,17.53,1,33.4,181,147,53,1.33,,Yoga,3.6,1,,weight loss,Light,3982,9.3,5,0,Kaggle_BMIDataset
109,75,MALE,69.3,1.848,20.29,2,25.2,165,135,40,0.84,1056,strength,3.09,3,2,weight loss,Moderate,1908,8.0,2,0,Kaggle_FitnessMetrics
110,36,M,68.5,1.698,23.76,2,15.5,142,111,86,0.51,381,cardio,1.76,2,1,Build Muscle,Moderate,3270,7.8,10,0,Kaggle_GymMembers
111,25,MALE,74.9,1.686,26.35,3,26.8,150,143,88,0.5,,hiit,1.37,6,,Muscle Gain,sedentary,4368,6.0,5,0,Kaggle_BMIDataset
112,34,female,59.7,168.9,20.93,2,46.0,187,172,87,1.5,238,cardio,1.45,5,1,Weight Loss,,4078,8.9,10,0,Kaggle_FitnessMetrics
113,32,female,59.4,1.695,20.68,2,22.0,188,157,99,1.72,960,Strength,2.92,6,2,Muscle Gain,Active,,7.2,4,0,Kaggle_BMIDataset
114,58,male,66.3,1.647,24.44,2,53.5,194,160,,2.5,790,N/A,1.72,3,2,bulking,Very Active,1847,7.7,3,0,Kaggle_FitnessMetrics
115,64,M,111.5,1.713,38.0,4,43.6,176,108,87,1.49,1344,strength,3.34,3,1,muscle gain,Active,3233,7.6,1,0,Kaggle_BMIDataset
116,79,F,82.7,1.571,33.51,4,,,142,97,1.75,722,Cardio,1.94,2,3,maintenance,Light,4151,7.2,,0,Kaggle_BMIDataset
117,68,F,115.081164,1.616,44.07,5,6.5,182,111,64,1.89,1433,Yoga,0.64,7,3,Lose Weight,Sedentary,2904,6.5,9,0,Kaggle_FitnessMetrics
118,17,F,69.9,1.528,29.94,3,41.0,152,125,88,1.14,394,hiit,1.46,7,1,Build Muscle,Moderate,4419,7.3,9,0,Kaggle_BMIDataset
119,80,Male,77.5,1.64,28.81,3,32.3,159,,79,2.9,1367,Cardio,1.4,6,2,Stay Fit,Active,4328,8.8,5,0,Kaggle_GymMembers
120,47,F,80.0,1.636,29.89,3,23.9,184,136,61,0.89,508,Strength,2.37,5,2,Lose Weight,Sedentary,1623,6.1,5,0,Kaggle_FitnessMetrics
121,26,Female,48.4,1.524,20.84,2,17.0,187,122,58,0.93,1203,cardio,2.17,4,3,muscle gain,sedentary,3369,7.0,3,0,Kaggle_GymMembers
122,71,Female,70.7,1.535,30.01,4,52.1,144,122,47,2.64,1381,hiit,3.81,5,1,Weight Loss,lightly active,3469,5.8,4,0,Kaggle_GymMembers
123,50,M,63.7,1.76,20.56,2,42.3,151,102,46,1.66,607,yoga,2.47,2,,,,3396,8.4,2,0,Kaggle_BMIDataset
124,41,female,60.4,1.751,19.7,2,22.2,191,112,85,1.02,620,N/A,1.62,4,3,maintenance,sedentary,2440,6.8,10,0,Kaggle_GymMembers
125,53,Female,69.1,1.554,28.61,3,19.3,181,172,54,2.09,1397,HIIT,0.73,5,,Maintenance,,3584,,3,0,Kaggle_GymMembers
126,19,female,49.2,1.606,19.08,2,42.1,181,163,79,1.64,202,Strength,3.87,2,2,Weight Loss,Light,3464,4.4,10,0,Kaggle_GymMembers
127,79,female,79.3,1.623,30.1,4,53.7,176,150,82,1.1,743,strength,3.87,5,,Muscle Gain,Very Active,4245,8.4,1,0,Kaggle_FitnessMetrics
128,26,female,46.2,1.635,17.28,1,18.2,173,102,55,1.0,717,strength,3.81,7,,muscle gain,sedentary,3972,,10,0,Kaggle_BMIDataset
129,32,Female,54.4,1.568,22.13,2,43.8,151,158,70,0.51,453,Cardio,1.76,6,3,Lose Weight,sedentary,,7.8,8,0,Kaggle_BMIDataset
130,53,male,87.6,1.852,25.54,3,37.0,158,162,,0.68,577,Strength,1.83,7,1,Weight Loss,Sedentary,1882,7.0,7,0,Kaggle_GymMembers
131,45,Male,55.5,1.844,16.32,1,31.2,161,166,73,2.2,883,Cardio,3.57,2,2,bulking,sedentary,2822,8.0,10,0,Kaggle_BMIDataset
132,35,male,83.9,1.913,22.93,2,,143,112,78,1.16,139,Strength,2.37,3,2,Maintenance,Moderate,1771,6.8,10,0,Kaggle_GymMembers
133,60,female,41.1,1.607,15.92,0,10.6,176,119,73,0.76,1135,Strength,2.54,2,2,muscle gain,,2099,10.7,7,0,Kaggle_GymMembers
134,70,female,49.5,1.609,19.12,2,23.3,152,158,67,2.06,600,Cardio,0.61,7,1,Lose Weight,Very Active,2786,7.0,4,0,Kaggle_BMIDataset
135,64,MALE,79.8,1.726,26.79,3,22.4,176,129,56,0.3,742,strength,3.15,5,1,bulking,Moderate,3801,6.8,5,0,Kaggle_GymMembers
136,62,F,69.4,1.636,25.93,3,,164,161,95,2.51,376,Cardio,2.6,7,3,Maintenance,Very Active,1627,6.8,8,0,Kaggle_BMIDataset
137,17,FEMALE,60.0,1.71,20.52,2,8.0,150,126,50,1.2,1314,Cardio,0.94,5,3,Maintenance,Sedentary,1867,4.2,6,0,Kaggle_FitnessMetrics
138,26,male,66.4,1.903,18.34,1,32.3,196,129,66,2.86,612,Cardio,3.61,3,1,Maintenance,lightly active,4213,7.5,10,0,Kaggle_FitnessMetrics
139,27,MALE,90.1,1.648,33.17,4,9.5,198,145,66,1.82,942,HIIT,3.77,3,3,cutting,Moderate,1632,8.2,7,1,Kaggle_FitnessMetrics
140,66,male,64.8,1.708,22.21,2,26.6,161,165,77,0.83,1453,Strength,0.86,1,1,maintenance,Light,1065,7.7,5,0,Kaggle_BMIDataset
141,54,M,76.7,1.713,26.14,3,28.8,195,112,85,1.06,513,,3.25,4,,Maintenance,Active,1484,8.1,7,0,Kaggle_FitnessMetrics
142,27,FEMALE,45.0,1.628,16.98,1,42.6,196,128,60,0.32,973,Cardio,2.5,1,1,Lose Weight,Very Active,3816,5.0,7,1,Kaggle_BMIDataset
143,20,Male,59.2,1.585,23.56,2,14.0,173,173,42,0.83,672,strength,3.52,4,2,,Very Active,1107,9.2,9,0,Kaggle_GymMembers
144,71,MALE,79.4,1.773,25.26,3,45.4,178,170,84,2.08,1110,hiit,0.67,5,,Build Muscle,,1062,7.4,9,0,Kaggle_FitnessMetrics
145,56,F,91.7,1.541,38.62,4,13.2,187,126,59,1.07,936,Cardio,1.24,,2,Stay Fit,sedentary,1196,5.2,8,0,Kaggle_FitnessMetrics
146,80,Female,52.6,1.621,20.02,2,,161,148,99,1.55,1309,Yoga,0.8,3,2,bulking,sedentary,1903,3.5,4,0,Kaggle_GymMembers
147,30,F,82.6,1.594,32.51,4,20.7,189,104,95,0.28,287,Cardio,3.83,,2,Lose Weight,Sedentary,1685,7.2,8,0,Kaggle_FitnessMetrics
148,80,Female,83.8,1.624,31.77,4,14.3,178,135,96,2.19,1298,Strength,2.11,1,,muscle gain,lightly active,3685,8.8,7,0,Kaggle_FitnessMetrics
149,51,F,49.4,1.62,18.82,2,31.8,191,136,61,2.98,236,Yoga,3.38,2,2,maintenance,lightly active,1840,5.9,6,0,Kaggle_FitnessMetrics
150,79,Male,42.3,1.782,13.32,0,25.4,166,109,86,1.5,882,cardio,2.46,1,3,muscle gain,Very Active,3238,8.9,6,0,Kaggle_FitnessMetrics
151,41,Male,52.4,1.703,18.07,1,20.0,175,107,84,2.26,175,Cardio,1.22,5,1,Lose Weight,lightly active,2303,7.8,3,0,Kaggle_BMIDataset
152,77,MALE,81.9,1.692,28.61,3,44.2,157,124,88,0.9,174,strength,1.22,3,2,weight loss,Sedentary,1980,7.2,1,0,Kaggle_BMIDataset
153,39,Male,70.6,1.8,21.79,2,8.4,179,112,69,2.61,302,strength,2.85,7,2,weight loss,,1459,8.4,7,0,Kaggle_GymMembers
154,22,FEMALE,47.9,1.662,17.34,1,31.9,161,124,83,2.44,612,,3.46,7,1,Build Muscle,Light,3470,6.6,8,0,Kaggle_BMIDataset
155,58,FEMALE,55.2,1.495,24.7,2,41.5,148,167,45,0.74,,Cardio,2.86,,,Maintenance,Sedentary,2590,7.3,7,1,Kaggle_GymMembers
156,44,Male,93.3,1.534,39.65,4,15.9,141,106,56,2.86,424,strength,2.74,1,1,Build Muscle,sedentary,4336,9.8,1,0,Kaggle_BMIDataset
157,76,Male,72.5,1.791,22.6,2,19.3,152,127,59,1.69,824,Strength,3.57,5,2,maintenance,lightly active,2473,10.5,3,0,Kaggle_GymMembers
158,53,male,77.8,1.721,26.27,3,18.6,192,111,69,0.41,966,yoga,3.2,2,2,Muscle Gain,sedentary,4073,7.8,7,0,Kaggle_GymMembers
159,75,M,69.8,1.546,29.2,3,28.1,193,136,72,2.34,1382,strength,2.48,,1,weight loss,sedentary,3655,7.9,6,0,Kaggle_FitnessMetrics
160,67,Male,53.4,1.722,18.01,1,15.4,199,149,96,1.03,1470,HIIT,3.3,4,2,Weight Loss,sedentary,3046,9.1,2,0,Kaggle_BMIDataset
161,34,M,65.3,1.688,22.92,2,,168,159,74,2.95,349,Strength,3.61,3,3,cutting,Active,1184,8.2,6,0,Kaggle_FitnessMetrics
162,15,F,63.3,1.575,25.52,3,25.5,162,138,94,2.12,221,,3.07,7,2,Build Muscle,,3697,6.4,2,1,Kaggle_GymMembers
163,26,Male,81.0,1.659,29.43,3,5.6,195,104,99,0.71,465,cardio,3.18,,,muscle gain,,3156,6.7,2,0,Kaggle_FitnessMetrics
164,70,Male,76.6,1.629,28.87,3,43.9,187,162,77,0.31,508,yoga,3.57,3,3,Stay Fit,Moderate,1057,9.9,5,0,Kaggle_BMIDataset
165,32,MALE,78.1,1.636,29.18,3,23.3,190,151,88,1.38,526,cardio,0.82,1,,weight loss,lightly active,869,4.8,7,0,Kaggle_BMIDataset
166,40,Female,67.2,1.591,26.55,3,8.3,197,120,73,1.61,1095,HIIT,1.58,,3,Stay Fit,Moderate,2452,9.3,3,0,Kaggle_BMIDataset
