food_id,food_name,region,category,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,meal_type,is_high_protein,is_low_carb,is_vegan,allergens,source
25,Soybean (cooked),West,Veg,173,16.6,10.0,9.0,6.0,15,breakfast|lunch|dinner|snack,1,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
26,Peanuts (roasted),West,Veg,567,25.8,16.1,49.2,8.5,14,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
27,Palak Paneer,North,Veg,185,9.8,6.2,14.2,1.5,30,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
28,Aloo Gobi,North,Veg,120,3.2,18.0,4.5,3.0,58,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
29,Baingan Bharta,North,Veg,76,2.0,8.0,4.2,3.5,40,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
30,Bhindi Masala,North,Veg,65,2.1,8.9,2.8,2.6,42,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
31,Methi Thepla,West,Veg,285,7.5,38.0,12.0,3.0,52,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
32,Vegetable Curry (mixed),South,Veg,85,2.5,10.0,4.0,2.5,48,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
33,Avial,South,Veg,115,2.8,12.0,6.5,3.0,45,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
34,Kootu,South,Veg,120,4.5,14.0,5.5,3.8,40,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
35,Paneer (whole milk),North,Veg,265,18.3,1.2,20.8,0.0,30,breakfast|lunch|dinner|snack,1,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
36,Curd/Dahi (full fat),North,Veg,98,3.3,4.7,4.3,0.0,36,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
37,Curd (low fat),North,Veg,63,5.0,5.7,1.5,0.0,34,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
38,Lassi (salted),North,Veg,63,3.0,5.0,3.0,0.0,38,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
39,Buttermilk (chaas),North,Veg,40,3.0,4.9,0.9,0.0,32,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
40,Ghee,North,Veg,900,0.0,0.0,99.5,0.0,0,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
41,Skimmed Milk,North,Veg,34,3.4,5.0,0.1,0.0,32,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
42,Full Fat Milk,North,Veg,61,3.2,4.8,3.2,0.0,34,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
43,Chicken Curry,North,Non-Veg,190,18.0,4.0,12.0,0.5,25,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
44,Tandoori Chicken,North,Non-Veg,165,25.0,4.0,5.5,0.5,20,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
45,Chicken Breast (grilled),North,Non-Veg,165,31.0,0.0,3.6,0.0,0,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
46,Chicken Biryani,North,Non-Veg,220,12.0,27.0,8.0,0.8,65,lunch|dinner,1,0,0,none,ICMR-NIN IFCT 2017 / INDB 2024
47,Chicken Tikka Masala,North,Non-Veg,200,20.0,7.0,11.0,1.0,30,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
48,Chettinad Chicken Curry,South,Non-Veg,215,19.0,5.5,14.0,1.2,28,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
49,Kerala Chicken Stew,South,Non-Veg,175,18.0,6.0,10.0,1.5,32,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
50,Chicken 65,South,Non-Veg,280,22.0,8.0,18.0,0.5,35,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
51,Keema (minced chicken),North,Non-Veg,220,21.0,4.0,14.0,0.8,22,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
52,Fish Curry (Rohu),East,Non-Veg,168,18.5,3.2,10.0,0.4,20,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
53,Prawn Masala,South,Non-Veg,145,18.0,4.0,7.0,0.5,25,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
54,Fish Fry (Pomfret),West,Non-Veg,210,22.0,3.0,13.0,0.3,18,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
55,Hilsa Fish Curry,East,Non-Veg,195,21.0,2.5,12.5,0.3,15,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
56,Goan Fish Curry,West,Non-Veg,180,19.0,4.5,11.0,0.8,22,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
57,Machher Jhol,East,Non-Veg,155,17.0,3.0,9.0,0.6,20,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
58,Surmai Fish Fry,West,Non-Veg,195,24.0,2.0,11.0,0.2,16,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
59,Boiled Egg,North,Egg,155,13.0,1.1,11.0,0.0,0,breakfast|lunch|snack,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
60,Egg White (boiled),North,Egg,52,11.0,0.7,0.2,0.0,0,breakfast|lunch|snack,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
61,Egg Bhurji,North,Egg,180,10.0,3.5,14.0,0.5,25,breakfast|lunch|snack,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
62,Omelette (plain),North,Egg,154,10.0,1.0,12.0,0.0,22,breakfast|lunch|snack,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
63,Egg Curry,North,Egg,165,11.0,4.0,12.0,0.8,28,breakfast|lunch|snack,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
64,Mutton Curry,North,Non-Veg,260,22.0,3.5,18.0,0.5,20,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
65,Rogan Josh,North,Non-Veg,270,23.0,4.0,19.0,0.8,22,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
66,Mutton Biryani,North,Non-Veg,250,15.0,28.0,12.0,0.9,67,lunch|dinner,1,0,0,none,ICMR-NIN IFCT 2017 / INDB 2024
67,Samosa (baked),North,Veg,160,3.0,23.0,6.5,1.5,68,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
68,Samosa (fried),North,Veg,262,3.5,30.0,14.5,1.5,72,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
69,Dhokla,West,Veg,76,3.5,12.0,1.5,0.8,50,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
70,Khandvi,West,Veg,130,4.5,18.0,4.8,1.2,52,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
71,Vada Pav,West,Veg,290,6.5,45.0,10.0,2.0,75,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
72,Pav Bhaji,West,Veg,170,4.5,28.0,5.5,3.0,65,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
73,Chaat (papdi),North,Veg,220,5.0,35.0,7.5,2.0,70,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
74,Pani Puri,West,Veg,101,2.2,16.5,3.4,1.0,68,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
75,Masala Dosa,South,Veg,206,4.0,32.0,7.5,1.8,68,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
76,Medu Vada,South,Veg,280,6.5,32.0,15.0,1.5,65,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
77,Appam,South,Veg,120,2.5,22.0,2.8,0.5,62,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
78,Rava Kesari,South,Veg,290,3.0,45.0,12.0,0.5,78,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
79,Rasam,South,Veg,30,1.2,4.5,0.8,0.5,35,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
80,Sambhar,South,Veg,55,3.0,8.0,1.2,1.8,40,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
81,Dal Makhani,North,Veg,175,8.5,20.0,7.5,3.5,35,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
82,Dal Tadka,North,Veg,120,7.0,17.0,3.0,2.5,30,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
83,Lemon Coriander Soup,South,Veg,25,1.0,3.5,0.5,0.5,28,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
84,Tomato Soup (homemade),North,Veg,41,1.5,6.5,1.0,1.2,38,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
85,Banana,South,Veg,89,1.1,23.0,0.3,2.6,51,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
86,Mango (Alphonso),West,Veg,60,0.8,15.0,0.4,1.6,56,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
87,Papaya,South,Veg,43,0.5,11.0,0.3,1.7,59,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
88,Guava,South,Veg,68,2.6,14.0,1.0,5.4,12,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
89,Watermelon,South,Veg,30,0.6,7.6,0.2,0.4,72,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
90,Pomegranate,West,Veg,83,1.7,18.7,1.2,4.0,35,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
91,Amla (Indian gooseberry),North,Veg,44,0.9,10.2,0.6,4.3,25,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
92,Jackfruit (raw),South,Veg,95,1.7,23.2,0.6,1.5,65,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
93,Litchi,East,Veg,66,0.8,16.5,0.4,1.3,57,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
94,Chikoo/Sapota,West,Veg,102,0.8,26.0,1.1,5.3,55,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
95,Almonds,North,Veg,579,21.2,21.5,49.9,12.5,0,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
96,Cashews,West,Veg,553,18.2,30.2,43.8,3.3,0,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
97,Walnuts,North,Veg,654,15.2,13.7,65.2,6.7,0,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
98,Flaxseeds,North,Veg,534,18.3,28.9,42.2,27.3,0,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
99,Sesame (til),North,Veg,573,17.7,23.5,49.7,11.8,0,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
100,Chia Seeds,West,Veg,486,16.5,42.1,30.7,34.4,0,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
101,Sunflower Seeds,West,Veg,584,20.8,20.0,51.5,8.6,0,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
102,Kheer (rice pudding),North,Veg,150,4.0,24.0,5.0,0.2,72,breakfast|lunch|dinner|snack,0,0,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
103,Gulab Jamun,North,Veg,380,5.5,56.0,15.0,0.5,80,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
104,Rasgulla,East,Veg,186,4.5,35.0,4.2,0.2,76,breakfast|lunch|dinner|snack,0,0,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
105,Halwa (sooji),North,Veg,300,4.0,45.0,12.0,0.8,70,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
106,Payasam (vermicelli),South,Veg,220,5.0,38.0,6.5,0.5,72,breakfast|lunch|dinner|snack,0,0,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
107,Ladoo (besan),North,Veg,420,8.5,55.0,19.0,3.5,68,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
108,Masala Chai (with milk),North,Veg,46,2.0,5.5,2.0,0.0,30,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
109,Filter Coffee (with milk),South,Veg,40,1.8,4.8,1.8,0.0,25,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
110,Turmeric Milk (haldi doodh),North,Veg,65,3.0,6.0,3.0,0.0,28,breakfast|lunch|dinner|snack,0,1,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
111,Coconut Water,South,Veg,19,0.7,3.7,0.2,1.1,54,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
112,Sugarcane Juice,South,Veg,73,0.2,17.5,0.3,0.0,43,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
113,Nimbu Pani (lemonade),North,Veg,25,0.3,6.2,0.0,0.0,40,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
114,Protein Shake (whey),North,Veg,113,22.0,5.0,1.5,0.0,0,breakfast|lunch|dinner|snack,1,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
115,Pesarattu,South,Veg,155,8.0,22.0,3.5,3.5,52,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
116,Pongal (ven),South,Veg,180,5.0,30.0,5.0,1.0,58,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
117,Curd Rice,South,Veg,120,3.5,22.0,2.5,0.3,60,breakfast|lunch|dinner|snack,0,0,1,dairy,ICMR-NIN IFCT 2017 / INDB 2024
118,Bisi Bele Bath,South,Veg,155,6.0,26.0,3.8,2.5,58,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
119,Tamarind Rice (puliyodarai),South,Veg,185,3.5,35.0,4.5,1.5,64,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
120,Litti Chokha,East,Veg,320,9.0,50.0,10.0,3.5,60,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
121,Sattu Paratha,East,Veg,290,11.5,43.0,8.5,4.0,52,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
122,Chingri Malai Curry,East,Non-Veg,230,19.0,4.5,16.0,0.8,25,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
123,Mustard Fish Curry,East,Non-Veg,185,20.0,3.0,11.0,0.5,20,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
124,Modak,West,Veg,250,3.5,40.0,10.0,2.5,68,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
125,Shrikhand,West,Veg,220,7.0,33.0,7.0,0.0,58,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
126,Sabudana Khichdi,West,Veg,295,3.0,53.0,8.5,0.5,72,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
127,Puran Poli,West,Veg,310,7.0,52.0,9.0,4.5,65,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
128,Jadoh (rice & meat),East,Non-Veg,210,14.0,28.0,5.5,0.8,62,lunch|dinner,1,0,0,none,ICMR-NIN IFCT 2017 / INDB 2024
129,Bamboo Shoot Curry,East,Veg,45,2.5,5.5,1.5,2.8,35,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
130,Smoked Pork Curry,East,Non-Veg,310,22.0,2.5,24.0,0.5,18,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
131,Whey Protein (30g serving),North,Non-Veg,120,24.0,3.0,1.5,0.0,0,lunch|dinner,1,1,0,none,ICMR-NIN IFCT 2017 / INDB 2024
132,Soya Chunks (cooked),North,Veg,150,18.0,11.0,1.0,0.0,15,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
133,Cottage Cheese (low-fat),North,Veg,98,11.0,3.4,4.3,0.0,28,breakfast|lunch|dinner|snack,1,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
134,Tofu (firm),West,Veg,76,8.0,1.9,4.8,0.3,15,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
135,Sprouts (mixed),West,Veg,82,5.8,10.0,2.5,1.8,25,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
136,Coconut Oil,South,Veg,892,0.0,0.0,99.1,0.0,0,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
137,Mustard Oil,East,Veg,884,0.0,0.0,100.0,0.0,0,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
138,Groundnut Oil,West,Veg,884,0.0,0.0,100.0,0.0,0,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
139,Sesame Oil,South,Veg,884,0.0,0.0,100.0,0.0,0,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
140,Olive Oil,North,Veg,884,0.0,0.0,100.0,0.0,0,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
141,Thukpa (air-fried),East,Non-Veg,144,8.2,20.8,3.3,2.1,55,lunch|dinner,0,0,0,none,Synthetic (ICMR schema)
142,Thukpa (steamed),East,Non-Veg,158,8.6,22.4,3.6,2.3,55,lunch|dinner,0,0,0,none,Synthetic (ICMR schema)
143,Momos (chicken) (grilled),East,Non-Veg,214,12.4,27.5,7.0,1.3,60,lunch|dinner,1,0,0,none,Synthetic (ICMR schema)
144,Matar Paneer (air-fried),North,Veg,188,9.8,13.6,12.5,2.6,38,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
145,Aloo Paratha (shallow-fried),North,Veg,319,7.1,46.0,12.3,3.3,66,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
146,Momos (veg) (grilled),East,Veg,182,5.5,28.2,5.6,1.8,60,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
147,Aloo Sabzi (air-fried),North,Veg,103,2.0,18.4,3.6,2.0,60,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
148,Dal Baati (stir-fried),West,Veg,399,10.3,60.4,14.7,5.1,60,breakfast|lunch|dinner|snack,1,0,1,none,Synthetic (ICMR schema)
149,Thukpa (stir-fried),East,Non-Veg,159,8.6,22.4,3.6,2.3,55,lunch|dinner,0,0,0,none,Synthetic (ICMR schema)
150,Egg Fried Rice (shallow-fried),East,Egg,224,8.1,35.5,6.6,0.9,72,breakfast|lunch|snack,0,0,0,none,Synthetic (ICMR schema)
151,Palak Dal (grilled),North,Veg,103,7.3,15.1,2.3,2.7,32,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
152,Paneer Bhurji (shallow-fried),North,Veg,242,13.8,4.9,19.3,1.2,25,breakfast|lunch|dinner|snack,1,1,1,none,Synthetic (ICMR schema)
153,Chicken Fried Rice (stir-fried),East,Non-Veg,253,12.3,37.6,6.9,1.0,72,lunch|dinner,1,0,0,none,Synthetic (ICMR schema)
154,Paneer Bhurji (shallow-fried),North,Veg,247,13.9,5.0,19.8,1.1,25,breakfast|lunch|dinner|snack,1,1,1,none,Synthetic (ICMR schema)
155,Egg Dosa (stir-fried),South,Egg,176,7.9,21.6,6.8,0.7,65,breakfast|lunch|snack,0,0,0,none,Synthetic (ICMR schema)
156,Laal Maas (stir-fried),West,Non-Veg,263,23.3,4.3,18.8,1.2,22,lunch|dinner,1,1,0,none,Synthetic (ICMR schema)
157,Egg Fried Rice (baked),East,Egg,231,8.2,36.3,6.8,0.9,72,breakfast|lunch|snack,0,0,0,none,Synthetic (ICMR schema)
158,Aloo Sabzi (grilled),North,Veg,97,2.0,17.6,3.4,1.9,60,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
159,Aloo Sabzi (shallow-fried),North,Veg,94,1.9,17.2,3.3,1.7,60,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
160,Paneer Bhurji (shallow-fried),North,Veg,248,13.9,5.0,19.8,1.1,25,breakfast|lunch|dinner|snack,1,1,1,none,Synthetic (ICMR schema)
161,Egg Dosa (baked),South,Egg,171,7.8,21.1,6.6,0.5,65,breakfast|lunch|snack,0,0,0,none,Synthetic (ICMR schema)
162,Kadala Curry (grilled),South,Veg,157,8.4,23.6,3.4,6.0,28,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
163,Vegetable Biryani (stir-fried),North,Veg,173,4.3,30.3,5.1,2.0,64,breakfast|lunch|dinner|snack,0,0,1,none,Synthetic (ICMR schema)
164,Dal Baati (steamed),West,Veg,391,10.1,59.4,14.4,4.8,60,breakfast|lunch|dinner|snack,1,0,1,none,Synthetic (ICMR schema)
165,Egg Dosa (baked),South,Egg,194,8.3,23.3,7.5,0.7,65,breakfast|lunch|snack,0,0,0,none,Synthetic (ICMR schema)
166,Momos (chicken) (grilled),East,Non-Veg,195,11.8,25.4,6.3,1.3,60,lunch|dinner,1,0,0,none,Synthetic (ICMR schema)
